"","geohash","netdiff","netdiff20","netdiff21","netdiff22","netdiff23","netdiff24","netdiff25","netdiff26","netdiff27","netdiff28","netdiff29","netdiff30"
"1","dr5pryv",-3,-7,-6,-7,-6,-3,-1,-3,-6,-4,-1,-6
"2","dr5pryy",-17,-22,-24,-16,-24,-18,-18,-12,-23,-15,-13,-22
"3","dr5przh",NA,NA,NA,NA,NA,-3,-2,-2,-3,-1,-1,-4
"4","dr5przj",-9,-16,-15,-11,-6,-22,-12,-13,-19,-8,-14,-9
"5","dr5r2p0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-1
"6","dr5r2p3",-9,-13,-15,-16,-17,-19,-14,-12,-31,-22,-10,-22
"7","dr5r2p9",-13,-7,-11,-15,-22,-9,-3,-16,-21,-10,-18,-20
"8","dr5r5x3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"9","dr5r5xk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2
"10","dr5r5zt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"11","dr5r7bm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"12","dr5r7ct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"13","dr5r7tn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"14","dr5r7u4",NA,NA,NA,-1,-2,0,-1,-1,-7,-2,-1,-3
"15","dr5r7u5",-3,-2,-1,-4,-4,-2,-2,-8,-12,-5,-2,-2
"17","dr5r7u6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1
"18","dr5r7uz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"19","dr5r801",-2,-6,-2,-1,-1,-3,-3,-4,-4,-4,-5,-6
"20","dr5r803",-51,-74,-53,-43,-64,-73,-53,-48,-81,-60,-61,-74
"22","dr5r804",-9,-10,-11,-10,-14,-16,-10,-5,-10,-7,-16,-12
"23","dr5re9z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-3
"25","dr5rec2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"26","dr5rec3",-22,-13,-9,-23,-23,-23,-34,-28,-22,-11,-14,-25
"30","dr5rec6",-4,-5,-1,-8,-18,-7,-4,-10,-7,-3,-3,-6
"32","dr5rec8",-16,-33,-43,-35,-40,-38,-42,-30,-42,-38,-37,-40
"37","dr5rec9",-19,-29,-55,-29,-42,-57,-24,-31,-51,-37,-40,-57
"42","dr5recb",-62,-54,-77,-98,-85,-101,-50,-75,-102,-76,-86,-108
"47","dr5recc",-15,-10,-13,-14,-15,-32,-18,-18,-31,-17,-20,-13
"52","dr5recd",-48,-32,-78,-68,-68,-82,-77,-72,-86,-61,-63,-71
"57","dr5rece",-18,-14,-23,-41,-53,-42,-28,-53,-51,-35,-26,-49
"62","dr5recf",-36,-45,-77,-46,-35,-61,-52,-22,-45,-43,-68,-68
"67","dr5recg",-24,-22,-18,-11,-11,-32,-14,-26,-18,-23,-26,-28
"72","dr5recs",-5,4,-7,-3,-11,-8,-5,-4,-10,2,-11,-16
"77","dr5recu",-13,-19,-25,-24,-19,-30,-35,-21,-41,-24,-38,-21
"82","dr5recv",-2,-13,-21,-25,-17,-30,-17,-17,-25,-21,-14,-17
"86","dr5recy",-2,2,0,-3,-1,0,-5,-2,-2,-1,0,-2
